epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,4.9192,1.14,4.8489,1.04,5.34,43.93,0m 43s,0.0,16.0,0.0,20.9,0.020000,2025-07-11 08:51:23,jittor
1,4.6107,2.45,4.4477,3.79,14.1,28.83,0m 28s,98.5,13.87,13.87,24.2,0.040000,2025-07-11 08:51:54,jittor
2,4.3628,5.0,4.2203,6.76,25.5,27.57,0m 27s,99.78,13.38,13.87,24.26,0.060000,2025-07-11 08:52:23,jittor
3,4.0836,9.18,3.9429,11.89,34.28,27.73,0m 27s,98.56,11.52,13.87,24.2,0.080000,2025-07-11 08:52:52,jittor
4,3.8472,13.98,3.63,18.46,46.05,27.34,0m 27s,98.5,12.53,13.87,24.2,0.100000,2025-07-11 08:53:21,jittor
5,3.5951,19.33,3.3595,24.23,54.97,27.48,0m 27s,100.0,11.97,13.87,24.2,0.120000,2025-07-11 08:53:50,jittor
6,3.2892,26.04,3.1798,28.66,61.53,28.14,0m 28s,99.3,11.81,13.87,24.19,0.140000,2025-07-11 08:54:19,jittor
7,3.0213,32.52,2.9626,35.67,67.89,28.39,0m 28s,100.0,13.32,13.87,24.2,0.160000,2025-07-11 08:54:49,jittor
8,2.8133,37.95,2.9894,35.98,67.83,27.15,0m 27s,99.9,14.59,13.87,24.25,0.180000,2025-07-11 08:55:17,jittor
9,2.6637,42.14,2.6962,42.8,75.22,26.17,0m 26s,98.6,13.34,13.87,24.2,0.200000,2025-07-11 08:55:45,jittor
10,2.5533,45.51,2.7015,42.36,73.74,26.92,0m 26s,100.0,12.82,13.87,24.24,0.220000,2025-07-11 08:56:13,jittor
11,2.4707,47.82,2.515,46.44,78.26,27.19,0m 27s,100.0,13.38,13.87,24.2,0.240000,2025-07-11 08:56:42,jittor
12,2.3979,49.91,2.6173,44.84,75.75,26.86,0m 26s,100.0,13.72,13.87,24.27,0.260000,2025-07-11 08:57:10,jittor
13,2.3593,50.74,2.6381,44.11,74.49,26.74,0m 26s,100.0,13.23,13.87,24.2,0.280000,2025-07-11 08:57:37,jittor
14,2.307,52.82,2.4146,49.53,81.88,25.72,0m 25s,98.0,13.78,13.87,24.23,0.300000,2025-07-11 08:58:04,jittor
15,2.2816,53.12,2.4844,49.75,79.27,27.16,0m 27s,98.8,14.86,13.87,24.22,0.320000,2025-07-11 08:58:33,jittor
16,2.2647,53.74,2.4376,49.5,79.61,26.88,0m 26s,100.0,13.82,13.87,24.24,0.340000,2025-07-11 08:59:01,jittor
17,2.231,54.62,2.385,50.17,81.31,26.25,0m 26s,98.5,14.39,13.87,24.23,0.360000,2025-07-11 08:59:28,jittor
18,2.2225,54.71,2.489,48.79,78.2,27.05,0m 27s,99.22,12.94,13.87,24.21,0.380000,2025-07-11 08:59:57,jittor
19,2.2049,55.53,2.3788,50.52,81.01,26.5,0m 26s,99.84,15.41,13.87,24.22,0.400000,2025-07-11 09:00:24,jittor
20,2.1857,56.12,2.4184,50.57,80.46,27.57,0m 27s,98.44,13.41,13.87,24.26,0.399981,2025-07-11 09:00:53,jittor
21,2.1558,56.92,2.301,53.11,83.04,27.51,0m 27s,98.44,13.38,13.87,24.2,0.399925,2025-07-11 09:01:22,jittor
22,2.1258,57.72,2.3483,52.5,81.49,27.65,0m 27s,99.33,12.92,13.87,24.21,0.399832,2025-07-11 09:01:51,jittor
23,2.1059,58.42,2.3259,53.18,82.24,26.43,0m 26s,98.56,12.3,13.87,24.01,0.399702,2025-07-11 09:02:18,jittor
24,2.0966,58.71,2.2473,54.81,83.82,27.41,0m 27s,98.67,11.86,13.87,24.0,0.399534,2025-07-11 09:02:47,jittor
25,2.0777,59.02,2.3146,53.0,82.48,27.36,0m 27s,100.0,13.19,13.87,24.0,0.399329,2025-07-11 09:03:16,jittor
26,2.0654,59.66,2.3934,51.66,81.44,25.91,0m 25s,98.83,12.33,13.87,24.0,0.399087,2025-07-11 09:03:42,jittor
27,2.0499,60.15,2.2071,55.59,84.88,27.21,0m 27s,99.94,11.76,13.87,24.0,0.398807,2025-07-11 09:04:10,jittor
28,2.028,60.51,2.2236,55.33,83.94,28.43,0m 28s,100.0,13.24,13.87,24.0,0.398491,2025-07-11 09:04:40,jittor
29,2.0237,60.88,2.1323,57.76,85.13,26.49,0m 26s,98.8,11.82,13.87,24.01,0.398137,2025-07-11 09:05:07,jittor
30,2.0061,61.66,2.3041,53.72,83.01,27.4,0m 27s,99.5,14.06,13.87,24.0,0.397747,2025-07-11 09:05:36,jittor
31,2.0028,61.66,2.2161,55.7,84.79,26.39,0m 26s,100.0,14.43,13.87,24.19,0.397319,2025-07-11 09:06:03,jittor
32,1.9824,62.25,2.1991,56.38,84.94,26.9,0m 26s,99.33,12.51,13.87,24.3,0.396855,2025-07-11 09:06:30,jittor
33,1.9722,62.38,2.2351,55.48,83.77,26.11,0m 26s,99.33,11.78,13.87,24.3,0.396354,2025-07-11 09:06:57,jittor
34,1.9679,62.71,2.2984,54.27,82.53,26.32,0m 26s,99.22,12.54,13.87,24.3,0.395817,2025-07-11 09:07:24,jittor
35,1.9603,62.62,2.5044,49.58,77.49,25.95,0m 25s,99.9,12.95,13.87,24.3,0.395243,2025-07-11 09:07:51,jittor
36,1.945,63.55,2.2434,55.4,83.56,26.23,0m 26s,99.5,13.85,13.87,24.25,0.394632,2025-07-11 09:08:18,jittor
37,1.9412,63.56,2.2046,55.87,84.77,26.57,0m 26s,98.78,12.93,13.87,24.24,0.393986,2025-07-11 09:08:45,jittor
38,1.9268,63.96,2.2199,56.29,83.75,26.72,0m 26s,98.33,11.46,13.87,24.24,0.393303,2025-07-11 09:09:13,jittor
39,1.9202,64.16,2.2131,56.06,84.09,27.43,0m 27s,100.0,12.89,13.87,24.29,0.392583,2025-07-11 09:09:41,jittor
40,1.9048,64.7,2.2256,56.41,83.82,26.31,0m 26s,98.8,14.85,13.87,24.26,0.391828,2025-07-11 09:10:09,jittor
