epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,4.7348,0.85,4.6991,0.67,4.56,17.74,0m 17s,0.0,13.1,0.39,22.1,0.020000,2025-07-11 12:24:56,jittor
1,4.2208,7.63,3.9372,12.2,35.23,4.09,0m 4s,88.67,12.97,2.74,24.9,0.040000,2025-07-11 12:25:01,jittor
2,3.7935,14.89,3.7973,18.0,43.77,3.95,0m 3s,89.0,13.67,2.74,24.9,0.060000,2025-07-11 12:25:05,jittor
3,3.4285,22.92,3.4983,25.4,55.55,3.96,0m 3s,88.33,13.6,2.74,24.9,0.080000,2025-07-11 12:25:10,jittor
4,3.1099,30.56,2.9944,33.86,66.26,3.94,0m 3s,89.33,12.3,2.74,24.9,0.100000,2025-07-11 12:25:15,jittor
5,2.8828,36.01,3.1733,33.39,63.26,3.91,0m 3s,91.0,12.83,2.74,24.9,0.120000,2025-07-11 12:25:20,jittor
6,2.7197,40.8,3.0728,36.37,67.02,3.9,0m 3s,90.33,12.53,2.74,24.9,0.140000,2025-07-11 12:25:25,jittor
7,2.59,44.49,2.6696,43.27,75.93,3.92,0m 3s,90.67,14.73,2.74,24.9,0.160000,2025-07-11 12:25:29,jittor
8,2.5004,47.29,2.5605,47.08,77.0,3.93,0m 3s,90.33,13.13,2.74,24.9,0.180000,2025-07-11 12:25:34,jittor
9,2.4171,49.37,2.6723,42.8,74.04,3.93,0m 3s,90.67,12.57,2.74,24.9,0.200000,2025-07-11 12:25:39,jittor
10,2.3663,50.98,2.6836,43.09,74.23,3.91,0m 3s,89.33,11.8,2.74,24.9,0.220000,2025-07-11 12:25:44,jittor
11,2.3152,52.25,2.4374,49.05,79.51,3.91,0m 3s,90.67,12.03,2.74,24.9,0.240000,2025-07-11 12:25:49,jittor
12,2.2827,53.35,2.4778,48.71,78.31,3.92,0m 3s,89.67,11.2,2.74,24.9,0.260000,2025-07-11 12:25:53,jittor
13,2.244,54.06,2.3833,50.45,80.33,3.93,0m 3s,90.33,12.97,2.74,24.9,0.280000,2025-07-11 12:25:58,jittor
14,2.221,54.87,2.4401,50.61,79.4,3.94,0m 3s,84.67,11.57,2.74,24.9,0.300000,2025-07-11 12:26:03,jittor
15,2.2056,55.2,2.3044,53.06,81.64,3.94,0m 3s,90.0,12.97,2.74,24.9,0.320000,2025-07-11 12:26:07,jittor
16,2.1915,55.84,2.616,46.55,76.15,3.95,0m 3s,89.67,13.63,2.74,24.9,0.340000,2025-07-11 12:26:12,jittor
17,2.1735,56.26,2.4356,49.83,79.51,3.92,0m 3s,89.67,13.83,2.74,24.9,0.360000,2025-07-11 12:26:17,jittor
18,2.1603,56.6,2.3649,51.52,81.21,3.91,0m 3s,90.0,13.83,2.74,24.9,0.380000,2025-07-11 12:26:22,jittor
19,2.1686,56.36,2.4488,48.96,79.28,3.91,0m 3s,90.67,12.67,2.74,24.9,0.400000,2025-07-11 12:26:27,jittor
20,2.1604,56.69,2.4189,49.37,80.16,3.92,0m 3s,90.0,14.7,2.74,24.9,0.399981,2025-07-11 12:26:31,jittor
21,2.1388,57.06,2.4324,50.26,79.36,3.95,0m 3s,90.33,21.23,2.74,24.9,0.399925,2025-07-11 12:26:36,jittor
22,2.115,57.95,2.3436,51.57,81.24,3.9,0m 3s,90.67,13.7,2.74,24.9,0.399832,2025-07-11 12:26:40,jittor
23,2.1013,58.51,2.3547,51.77,80.32,3.95,0m 3s,90.0,13.3,2.74,24.9,0.399702,2025-07-11 12:26:45,jittor
24,2.0914,58.63,2.4303,49.57,79.27,3.91,0m 3s,85.33,12.57,2.74,24.9,0.399534,2025-07-11 12:26:50,jittor
25,2.0876,58.83,2.4507,48.91,78.93,3.92,0m 3s,89.67,11.77,2.74,24.9,0.399329,2025-07-11 12:26:54,jittor
26,2.0863,58.6,2.4835,49.0,78.49,3.93,0m 3s,89.67,16.8,2.74,24.97,0.399087,2025-07-11 12:26:59,jittor
27,2.0731,59.16,2.2558,53.91,83.29,3.92,0m 3s,90.67,16.27,2.74,25.0,0.398807,2025-07-11 12:27:04,jittor
28,2.0606,59.6,2.2973,53.86,82.11,3.92,0m 3s,89.67,13.93,2.74,25.0,0.398491,2025-07-11 12:27:09,jittor
29,2.0598,59.5,2.3813,50.93,80.4,3.89,0m 3s,90.0,13.0,2.74,25.0,0.398137,2025-07-11 12:27:13,jittor
30,2.0394,60.31,2.3262,53.09,81.41,3.89,0m 3s,90.33,13.07,2.74,24.9,0.397747,2025-07-11 12:27:18,jittor
31,2.0407,60.41,2.183,56.98,84.74,3.93,0m 3s,86.67,13.53,2.74,24.9,0.397319,2025-07-11 12:27:23,jittor
32,2.0289,60.57,2.2385,54.2,83.62,3.94,0m 3s,90.0,13.5,2.74,24.9,0.396855,2025-07-11 12:27:27,jittor
33,2.0208,60.76,2.2028,55.48,84.26,3.91,0m 3s,90.0,12.5,2.74,24.9,0.396354,2025-07-11 12:27:32,jittor
34,2.0161,60.87,2.3989,50.68,80.75,3.91,0m 3s,90.33,13.17,2.74,24.9,0.395817,2025-07-11 12:27:37,jittor
35,2.0133,61.13,2.6382,45.66,76.07,3.93,0m 3s,90.0,13.07,2.74,24.9,0.395243,2025-07-11 12:27:42,jittor
36,2.014,60.99,2.3718,51.04,80.79,3.92,0m 3s,90.0,11.07,2.74,24.9,0.394632,2025-07-11 12:27:46,jittor
