epoch,train_loss,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_memory_used_gb,max_gpu_memory_used_gb,gpu_memory_total_gb,avg_cpu_percent,max_cpu_percent,avg_cpu_memory_used_gb,max_cpu_memory_used_gb,avg_cpu_memory_percent,max_cpu_memory_percent,learning_rate,timestamp,framework
1,4.9876,4.1901,17.02,38.55,816.13,13m 36s,1.21,10.56,23.64,5.1,10.3,38.92,45.38,8.1,9.1,0.099983,2025-07-04 07:55:56,torch
2,3.6734,3.3348,29.68,55.66,803.75,13m 23s,1.28,10.67,23.64,5.1,12.8,46.12,47.69,9.2,9.5,0.099931,2025-07-04 08:09:20,torch
3,3.2019,2.9821,35.02,61.66,802.0,13m 22s,1.13,10.78,23.64,5.1,12.1,47.3,47.7,9.3,9.6,0.099846,2025-07-04 08:22:43,torch
4,2.9509,2.6913,40.62,67.07,803.41,13m 23s,1.31,10.78,23.64,5.5,11.8,47.71,48.04,9.4,9.5,0.099726,2025-07-04 08:36:08,torch
5,2.7921,2.658,41.65,67.75,803.3,13m 23s,1.2,10.9,23.64,5.4,11.4,48.04,48.46,9.4,9.7,0.099572,2025-07-04 08:49:32,torch
6,2.6811,2.4464,44.93,71.35,800.5,13m 20s,1.17,10.78,23.64,5.3,11.8,48.22,48.5,9.4,9.8,0.099384,2025-07-04 09:02:54,torch
7,2.5967,2.5493,43.7,69.81,802.55,13m 22s,1.05,10.94,23.64,5.2,12.6,48.43,49.34,9.5,9.7,0.099163,2025-07-04 09:16:18,torch
8,2.5306,2.4476,45.13,71.13,801.35,13m 21s,1.15,10.79,23.64,6.0,12.1,51.73,52.51,10.1,10.6,0.098907,2025-07-04 09:29:40,torch
9,2.4769,2.288,47.41,73.6,800.48,13m 20s,1.08,10.9,23.64,6.3,12.7,52.74,53.26,10.2,10.6,0.098618,2025-07-04 09:43:02,torch
10,2.432,2.3467,47.01,72.84,801.7,13m 21s,1.06,10.78,23.64,5.4,24.4,49.55,53.06,9.6,10.5,0.098296,2025-07-04 09:56:25,torch
11,2.3946,2.1738,49.9,75.47,798.53,13m 18s,1.12,10.94,23.64,5.7,12.9,50.71,53.11,9.8,10.5,0.097941,2025-07-04 10:09:44,torch
12,2.3616,2.1879,49.62,75.32,802.17,13m 22s,1.22,10.79,23.64,6.2,12.2,53.3,54.39,10.3,10.7,0.097553,2025-07-04 10:23:08,torch
13,2.3325,2.132,51.03,76.4,801.68,13m 21s,1.14,10.9,23.64,6.2,12.7,54.52,55.75,10.5,10.9,0.097132,2025-07-04 10:36:30,torch
14,2.3074,2.1063,51.42,76.72,799.96,13m 19s,1.14,10.94,23.64,6.1,12.6,54.1,55.6,10.4,11.0,0.096679,2025-07-04 10:49:51,torch
