epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,4.869,0.9,4.7206,0.62,4.82,25.73,0m 25s,0.0,12.5,0.0,22.9,0.020000,2025-07-11 07:32:51,torch
1,4.6529,2.23,4.4657,3.52,12.71,27.9,0m 27s,99.32,12.11,10.15,23.7,0.040000,2025-07-11 07:33:20,torch
2,4.477,3.76,4.3594,5.06,19.89,26.66,0m 26s,98.71,12.71,10.15,23.7,0.060000,2025-07-11 07:33:48,torch
3,4.1948,7.37,3.9165,11.74,34.64,28.01,0m 28s,99.36,12.22,10.15,23.7,0.080000,2025-07-11 07:34:17,torch
4,3.9427,11.68,3.7521,15.2,40.75,26.9,0m 26s,99.42,13.28,10.15,23.7,0.100000,2025-07-11 07:34:45,torch
5,3.7195,16.35,3.4942,21.32,50.21,28.11,0m 28s,99.0,13.81,10.15,23.7,0.120000,2025-07-11 07:35:14,torch
6,3.4513,22.19,3.2493,27.89,59.0,26.89,0m 26s,99.42,13.94,10.15,23.75,0.140000,2025-07-11 07:35:42,torch
7,3.1922,28.28,3.226,28.9,62.11,27.43,0m 27s,99.25,14.07,10.15,23.7,0.160000,2025-07-11 07:36:10,torch
8,2.9616,34.15,2.9012,37.2,69.86,27.95,0m 27s,99.48,15.74,10.15,23.77,0.180000,2025-07-11 07:36:39,torch
9,2.7752,39.14,2.6701,42.13,74.49,27.57,0m 27s,99.33,11.75,10.15,23.7,0.200000,2025-07-11 07:37:07,torch
10,2.6306,43.26,2.8652,39.47,71.62,28.15,0m 28s,99.44,12.4,10.15,23.76,0.220000,2025-07-11 07:37:36,torch
11,2.5279,46.19,2.5136,47.3,78.16,27.67,0m 27s,99.46,12.75,10.15,23.8,0.240000,2025-07-11 07:38:04,torch
12,2.4517,48.2,2.5756,45.88,77.14,28.05,0m 28s,99.48,13.49,10.15,23.8,0.260000,2025-07-11 07:38:33,torch
13,2.3946,49.64,2.4773,47.85,77.95,27.9,0m 27s,99.44,14.51,10.15,23.86,0.280000,2025-07-11 07:39:02,torch
14,2.3404,51.48,2.6043,45.51,77.22,27.97,0m 27s,99.36,12.42,10.15,23.8,0.300000,2025-07-11 07:39:31,torch
15,2.3008,52.51,2.6443,45.63,76.49,27.47,0m 27s,99.25,12.6,10.15,23.81,0.320000,2025-07-11 07:39:59,torch
16,2.268,53.56,2.4454,48.56,80.07,27.04,0m 27s,99.38,12.05,10.15,23.8,0.340000,2025-07-11 07:40:26,torch
17,2.2353,54.65,2.4871,49.56,78.96,27.96,0m 27s,99.2,12.68,10.15,23.8,0.360000,2025-07-11 07:40:55,torch
18,2.2219,54.94,2.5549,48.49,78.68,27.46,0m 27s,99.46,13.37,10.15,23.8,0.380000,2025-07-11 07:41:23,torch
19,2.2185,54.99,2.3802,51.67,81.71,28.66,0m 28s,99.4,15.95,10.15,23.8,0.400000,2025-07-11 07:41:52,torch
20,2.1782,56.08,2.4361,50.26,80.59,26.95,0m 26s,99.42,18.15,10.15,23.9,0.399981,2025-07-11 07:42:20,torch
21,2.1469,57.28,2.3465,52.48,81.77,27.95,0m 27s,99.48,13.3,10.15,23.84,0.399925,2025-07-11 07:42:49,torch
22,2.1271,57.75,2.4122,51.68,80.99,27.96,0m 27s,99.4,13.91,10.15,23.85,0.399832,2025-07-11 07:43:18,torch
23,2.1004,58.73,2.2793,54.13,83.13,29.1,0m 29s,99.42,13.05,10.15,23.9,0.399702,2025-07-11 07:43:48,torch
24,2.0773,59.4,2.3067,53.32,82.1,27.77,0m 27s,99.24,13.06,10.15,23.86,0.399534,2025-07-11 07:44:17,torch
25,2.0584,59.84,2.2078,56.0,84.96,28.34,0m 28s,99.44,14.57,10.15,23.9,0.399329,2025-07-11 07:44:46,torch
26,2.0462,60.33,2.2191,56.35,84.3,28.02,0m 28s,96.04,11.52,10.15,23.9,0.399087,2025-07-11 07:45:15,torch
27,2.0361,60.65,2.2553,54.67,83.34,28.21,0m 28s,99.32,13.19,10.15,23.85,0.398807,2025-07-11 07:45:44,torch
28,2.018,60.92,2.1905,57.16,85.0,28.51,0m 28s,99.4,14.0,10.15,23.89,0.398491,2025-07-11 07:46:13,torch
29,2.0084,61.46,2.0556,60.29,86.76,27.67,0m 27s,99.38,12.59,10.15,23.9,0.398137,2025-07-11 07:46:41,torch
30,1.9796,62.35,2.1027,59.02,86.56,28.95,0m 28s,99.46,12.65,10.15,23.9,0.397747,2025-07-11 07:47:11,torch
31,1.9801,62.1,2.3554,53.18,81.59,26.92,0m 26s,99.46,13.51,10.15,23.9,0.397319,2025-07-11 07:47:39,torch
32,1.9629,62.91,2.1684,57.71,85.44,29.55,0m 29s,98.85,13.1,10.15,23.91,0.396855,2025-07-11 07:48:09,torch
33,1.9568,62.83,2.2588,54.1,83.61,27.34,0m 27s,98.92,11.95,10.15,24.0,0.396354,2025-07-11 07:48:37,torch
34,1.9638,63.01,3.1554,32.93,63.29,28.56,0m 28s,99.4,12.51,10.15,24.0,0.395817,2025-07-11 07:49:05,torch
35,1.9759,62.31,2.1142,58.71,85.72,28.81,0m 28s,99.2,13.13,10.15,23.95,0.395243,2025-07-11 07:49:34,torch
36,1.9447,63.3,2.1385,58.53,86.06,28.21,0m 28s,99.56,12.62,10.15,23.93,0.394632,2025-07-11 07:50:03,torch
37,1.9236,64.13,2.2197,56.76,84.19,28.95,0m 28s,99.31,12.27,10.15,23.9,0.393986,2025-07-11 07:50:33,torch
38,1.9141,64.28,2.1526,57.54,85.16,28.09,0m 28s,99.2,15.13,10.15,23.93,0.393303,2025-07-11 07:51:02,torch
39,1.9077,64.53,2.2795,54.73,84.06,28.49,0m 28s,99.2,12.52,10.15,23.98,0.392583,2025-07-11 07:51:31,torch
40,1.9019,64.69,2.0493,60.33,87.03,27.46,0m 27s,99.5,12.84,10.15,23.9,0.391828,2025-07-11 07:51:59,torch
41,1.8958,64.76,2.105,59.12,86.24,28.88,0m 28s,99.44,12.2,10.15,23.9,0.391038,2025-07-11 07:52:28,torch
42,1.9057,64.62,2.2405,55.84,84.56,27.58,0m 27s,99.62,12.61,10.15,23.9,0.390211,2025-07-11 07:52:56,torch
43,1.8884,65.1,2.3993,52.04,81.9,28.51,0m 28s,99.4,13.62,10.15,23.9,0.389349,2025-07-11 07:53:24,torch
44,1.878,65.57,2.2259,56.44,84.3,27.86,0m 27s,99.4,14.32,10.15,23.96,0.388452,2025-07-11 07:53:53,torch
45,1.8661,65.83,2.198,57.6,84.53,29.02,0m 29s,99.33,12.1,10.15,23.9,0.387520,2025-07-11 07:54:23,torch
46,1.8608,65.88,2.1974,57.32,85.23,28.82,0m 28s,98.05,12.4,10.15,23.9,0.386552,2025-07-11 07:54:52,torch
47,1.8543,66.11,2.0821,59.87,86.19,27.86,0m 27s,99.69,12.73,10.15,23.9,0.385550,2025-07-11 07:55:21,torch
48,1.8541,66.11,2.1263,58.4,86.13,28.87,0m 28s,99.29,12.03,10.15,23.9,0.384514,2025-07-11 07:55:51,torch
49,1.8399,66.53,8.3526,2.27,8.73,27.81,0m 27s,99.28,13.01,10.15,23.9,0.383442,2025-07-11 07:56:20,torch
50,1.8509,66.21,2.2373,56.03,83.52,29.05,0m 29s,99.55,11.69,10.15,23.9,0.382337,2025-07-11 07:56:50,torch
51,1.8361,66.85,2.0347,60.98,87.27,28.33,0m 28s,99.12,13.56,10.15,23.91,0.381197,2025-07-11 07:57:19,torch
52,1.8271,66.83,2.044,61.22,87.42,27.67,0m 27s,98.96,11.95,10.15,23.92,0.380024,2025-07-11 07:57:47,torch
53,1.8315,66.73,2.0509,61.86,86.75,28.55,0m 28s,96.44,12.51,10.15,23.9,0.378817,2025-07-11 07:58:16,torch
54,1.8228,66.97,2.003,62.0,88.03,28.51,0m 28s,99.4,11.64,10.15,23.95,0.377577,2025-07-11 07:58:45,torch
55,1.8118,67.47,2.0537,60.6,87.41,29.0,0m 29s,99.31,12.78,10.15,23.97,0.376304,2025-07-11 07:59:15,torch
56,1.8069,67.47,2.0121,61.3,87.64,27.77,0m 27s,99.4,11.78,10.15,23.95,0.374998,2025-07-11 07:59:44,torch
57,1.8012,68.01,2.0421,60.32,86.98,28.49,0m 28s,99.35,14.23,10.15,23.97,0.373659,2025-07-11 08:00:13,torch
58,1.791,68.11,2.0411,61.13,87.58,26.58,0m 26s,99.24,14.93,10.15,23.93,0.372287,2025-07-11 08:00:39,torch
59,1.7936,67.94,2.0062,62.84,88.49,28.67,0m 28s,99.6,17.35,10.15,24.0,0.370884,2025-07-11 08:01:08,torch
60,1.7825,68.18,2.1742,58.55,84.96,28.6,0m 28s,99.44,11.47,10.15,24.0,0.369449,2025-07-11 08:01:37,torch
61,1.7822,68.56,2.1806,58.25,85.0,28.92,0m 28s,99.44,13.12,10.15,24.0,0.367982,2025-07-11 08:02:06,torch
62,1.774,68.57,2.0485,61.65,87.47,28.12,0m 28s,98.68,14.47,10.15,23.99,0.366483,2025-07-11 08:02:35,torch
63,1.7735,68.72,2.0388,61.97,87.75,28.15,0m 28s,99.2,15.82,10.15,24.0,0.364954,2025-07-11 08:03:04,torch
64,1.7654,68.96,2.0883,60.1,86.41,29.02,0m 29s,96.77,13.47,10.15,24.0,0.363394,2025-07-11 08:03:34,torch
65,1.7641,68.89,2.0143,61.94,87.43,26.85,0m 26s,99.35,13.88,10.15,24.06,0.361803,2025-07-11 08:04:02,torch
66,1.7574,69.17,2.0543,61.36,87.13,29.07,0m 29s,99.46,11.89,10.15,24.0,0.360183,2025-07-11 08:04:32,torch
67,1.7618,69.05,2.0364,61.27,86.88,27.93,0m 27s,99.32,13.74,10.15,24.0,0.358532,2025-07-11 08:05:01,torch
68,1.7523,69.24,2.0533,60.79,87.06,28.53,0m 28s,99.4,13.65,10.15,24.03,0.356852,2025-07-11 08:05:29,torch
69,1.7475,69.09,2.0219,61.7,87.47,26.57,0m 26s,99.35,12.51,10.15,24.03,0.355142,2025-07-11 08:05:56,torch
70,1.7363,69.88,1.9445,64.42,88.66,28.57,0m 28s,99.64,12.35,10.15,24.0,0.353404,2025-07-11 08:06:25,torch
71,1.734,69.89,2.063,61.02,87.09,26.67,0m 26s,99.42,14.04,10.15,24.02,0.351637,2025-07-11 08:06:53,torch
72,1.7359,69.86,2.0422,61.42,87.62,29.17,0m 29s,99.46,13.63,10.15,24.05,0.349842,2025-07-11 08:07:23,torch
73,1.726,70.28,1.8971,65.74,90.0,27.91,0m 27s,99.32,12.36,10.15,24.0,0.348018,2025-07-11 08:07:52,torch
74,1.7182,70.09,2.0419,61.74,87.03,28.44,0m 28s,99.36,12.81,10.15,24.0,0.346167,2025-07-11 08:08:21,torch
75,1.7189,70.36,2.1054,59.28,86.9,28.49,0m 28s,99.48,12.9,10.15,24.03,0.344289,2025-07-11 08:08:50,torch
76,1.7222,70.22,1.9708,64.17,89.28,27.47,0m 27s,97.75,14.47,10.15,24.07,0.342384,2025-07-11 08:09:18,torch
77,1.7088,70.61,2.0123,62.21,88.49,29.39,0m 29s,98.92,12.34,10.15,24.06,0.340452,2025-07-11 08:09:48,torch
78,1.7081,70.67,1.9847,62.77,88.54,26.61,0m 26s,97.5,12.85,10.15,24.1,0.338494,2025-07-11 08:10:15,torch
79,1.7002,71.01,2.0057,62.77,87.83,28.53,0m 28s,99.4,13.19,10.15,24.05,0.336511,2025-07-11 08:10:44,torch
80,1.6983,71.15,1.9857,62.82,88.33,27.71,0m 27s,99.04,14.29,10.15,24.1,0.334502,2025-07-11 08:11:13,torch
81,1.6892,70.95,2.0228,62.36,87.77,28.57,0m 28s,99.4,13.38,10.15,24.05,0.332467,2025-07-11 08:11:42,torch
82,1.6932,71.24,2.1243,59.82,85.77,28.26,0m 28s,99.0,14.34,10.15,24.1,0.330408,2025-07-11 08:12:11,torch
83,1.6891,71.09,2.0035,62.7,88.15,29.25,0m 29s,99.19,12.32,10.15,24.1,0.328325,2025-07-11 08:12:41,torch
84,1.6812,71.43,1.9469,64.12,89.28,27.96,0m 27s,95.88,14.1,10.15,24.06,0.326218,2025-07-11 08:13:10,torch
85,1.6786,71.67,1.9607,64.21,89.25,28.08,0m 28s,99.2,13.7,10.15,24.1,0.324087,2025-07-11 08:13:39,torch
86,1.6773,71.63,2.1288,59.96,85.95,28.99,0m 28s,99.31,12.52,10.15,24.1,0.321933,2025-07-11 08:14:09,torch
87,1.6655,71.97,1.9041,64.5,89.52,26.54,0m 26s,99.13,11.82,10.15,24.1,0.319756,2025-07-11 08:14:35,torch
88,1.658,72.14,1.9189,64.96,89.74,28.55,0m 28s,99.9,12.39,10.15,24.1,0.317557,2025-07-11 08:15:04,torch
89,1.6619,72.01,2.0642,61.98,86.83,27.58,0m 27s,99.44,12.38,10.15,24.1,0.315336,2025-07-11 08:15:32,torch
90,1.6539,72.42,2.011,62.37,88.16,28.77,0m 28s,98.04,12.62,10.15,24.1,0.313094,2025-07-11 08:16:01,torch
91,1.6509,72.3,1.9377,65.31,89.22,27.49,0m 27s,99.25,14.09,10.15,24.1,0.310830,2025-07-11 08:16:29,torch
92,1.6446,72.62,1.9827,62.82,87.78,28.07,0m 28s,95.84,13.4,10.15,24.11,0.308546,2025-07-11 08:16:58,torch
93,1.642,72.53,1.9233,64.45,89.15,28.08,0m 28s,99.52,14.54,10.15,24.1,0.306241,2025-07-11 08:17:26,torch
94,1.6366,72.71,1.9202,66.1,89.44,28.8,0m 28s,99.48,13.59,10.15,24.12,0.303917,2025-07-11 08:17:55,torch
95,1.6277,73.05,1.9731,63.09,88.24,27.09,0m 27s,99.38,13.01,10.15,24.1,0.301573,2025-07-11 08:18:23,torch
96,1.6196,73.15,1.928,64.66,89.56,28.87,0m 28s,99.36,14.02,10.15,24.12,0.299211,2025-07-11 08:18:52,torch
97,1.6204,73.48,1.9706,63.31,88.38,27.21,0m 27s,99.29,15.0,10.15,24.1,0.296829,2025-07-11 08:19:20,torch
98,1.6219,73.43,1.9271,64.8,89.55,28.55,0m 28s,99.44,14.52,10.15,24.1,0.294430,2025-07-11 08:19:49,torch
99,1.6148,73.7,1.8932,65.81,89.07,28.18,0m 28s,99.2,17.74,10.15,24.1,0.292013,2025-07-11 08:20:17,torch
100,1.6004,73.8,1.8714,66.45,90.22,29.01,0m 29s,99.23,14.9,10.15,24.1,0.289579,2025-07-11 08:20:47,torch
101,1.6046,73.88,1.9056,64.99,90.19,28.65,0m 28s,99.24,17.75,10.15,24.17,0.287128,2025-07-11 08:21:17,torch
102,1.5928,74.31,2.0176,63.07,87.26,28.63,0m 28s,99.44,11.93,10.15,24.11,0.284661,2025-07-11 08:21:45,torch
103,1.5965,74.1,1.8927,65.86,89.94,28.52,0m 28s,97.24,14.39,10.15,24.1,0.282179,2025-07-11 08:22:14,torch
104,1.582,74.66,1.9187,65.4,89.65,27.81,0m 27s,99.52,14.14,10.15,24.14,0.279681,2025-07-11 08:22:43,torch
105,1.5823,74.82,1.9801,64.11,88.0,29.05,0m 29s,96.38,13.7,10.15,24.13,0.277168,2025-07-11 08:23:13,torch
106,1.5772,74.71,1.9218,64.68,89.53,26.88,0m 26s,99.42,13.88,10.15,24.15,0.274640,2025-07-11 08:23:41,torch
107,1.5769,74.64,1.8672,66.0,90.71,28.75,0m 28s,99.48,14.57,10.15,24.1,0.272099,2025-07-11 08:24:10,torch
108,1.5702,74.94,1.9345,65.42,89.56,27.84,0m 27s,98.52,13.63,10.15,24.16,0.269544,2025-07-11 08:24:38,torch
109,1.5716,74.97,1.9215,65.85,89.85,28.85,0m 28s,99.48,12.38,10.15,24.1,0.266976,2025-07-11 08:25:07,torch
110,1.5603,75.28,1.9496,64.05,88.9,27.4,0m 27s,99.9,13.39,10.15,24.1,0.264396,2025-07-11 08:25:35,torch
111,1.5499,75.59,1.9235,65.37,88.41,29.01,0m 29s,99.42,15.08,10.15,24.15,0.261804,2025-07-11 08:26:05,torch
112,1.5399,75.97,1.8916,66.22,89.79,28.63,0m 28s,99.4,13.63,10.15,24.1,0.259200,2025-07-11 08:26:34,torch
113,1.5479,75.72,1.8849,66.03,90.07,29.11,0m 29s,99.38,13.9,10.15,24.16,0.256585,2025-07-11 08:27:04,torch
114,1.5429,75.91,1.8983,65.46,89.89,28.56,0m 28s,98.84,11.92,10.15,24.17,0.253960,2025-07-11 08:27:33,torch
115,1.5291,76.24,1.8373,67.06,90.37,28.08,0m 28s,99.4,13.27,10.15,24.17,0.251324,2025-07-11 08:28:02,torch
116,1.5275,76.47,1.9227,65.05,88.96,27.48,0m 27s,99.25,14.22,10.15,24.17,0.248679,2025-07-11 08:28:30,torch
117,1.5275,76.25,1.8457,67.89,90.72,27.56,0m 27s,99.46,12.32,10.15,24.2,0.246025,2025-07-11 08:28:58,torch
118,1.5121,76.92,1.8951,66.12,89.89,28.61,0m 28s,96.04,12.42,10.15,24.2,0.243362,2025-07-11 08:29:27,torch
119,1.511,76.83,1.8418,67.45,90.57,28.02,0m 28s,99.2,11.92,10.15,24.2,0.240692,2025-07-11 08:29:55,torch
120,1.5059,76.97,1.8946,66.47,90.04,28.98,0m 28s,99.35,12.69,10.15,24.2,0.238013,2025-07-11 08:30:25,torch
121,1.4965,77.15,1.8576,66.97,89.93,27.23,0m 27s,99.54,13.58,10.15,24.2,0.235328,2025-07-11 08:30:53,torch
122,1.4914,77.56,1.8507,66.84,90.44,28.49,0m 28s,99.32,15.23,10.15,24.2,0.232636,2025-07-11 08:31:22,torch
123,1.4943,77.46,1.8513,67.22,89.93,26.52,0m 26s,98.5,12.58,10.15,24.2,0.229938,2025-07-11 08:31:50,torch
124,1.4851,77.6,1.7889,69.0,90.75,29.01,0m 29s,99.31,14.73,10.15,24.16,0.227234,2025-07-11 08:32:20,torch
125,1.4836,77.84,1.8435,67.78,91.0,25.82,0m 25s,99.3,12.41,10.15,24.2,0.224525,2025-07-11 08:32:46,torch
126,1.4793,77.97,1.7999,68.85,91.33,28.59,0m 28s,99.56,12.64,10.15,24.2,0.221812,2025-07-11 08:33:15,torch
127,1.4652,78.39,1.8633,66.87,90.39,27.93,0m 27s,99.32,11.49,10.15,24.2,0.219094,2025-07-11 08:33:44,torch
128,1.4614,78.5,1.8033,68.14,91.09,28.59,0m 28s,99.24,12.4,10.15,24.2,0.216373,2025-07-11 08:34:13,torch
129,1.4568,78.56,1.8026,68.28,90.85,26.86,0m 26s,99.46,12.64,10.15,24.2,0.213649,2025-07-11 08:34:41,torch
130,1.451,78.89,1.832,68.36,90.97,27.5,0m 27s,99.42,14.72,10.15,24.2,0.210922,2025-07-11 08:35:09,torch
131,1.443,79.12,1.8405,68.16,90.86,27.68,0m 27s,99.33,14.09,10.15,24.22,0.208194,2025-07-11 08:35:37,torch
132,1.441,79.21,1.8873,66.75,89.77,28.86,0m 28s,99.36,12.41,10.15,24.2,0.205463,2025-07-11 08:36:05,torch
133,1.4336,79.39,1.8059,68.8,91.4,27.91,0m 27s,99.88,15.22,10.15,24.2,0.202732,2025-07-11 08:36:34,torch
134,1.4313,79.37,1.791,69.48,91.51,28.54,0m 28s,99.48,12.45,10.15,24.16,0.200000,2025-07-11 08:37:03,torch
135,1.4246,79.79,1.8512,66.8,90.08,26.51,0m 26s,98.26,14.2,10.15,24.12,0.197269,2025-07-11 08:37:30,torch
136,1.4142,80.3,1.9119,66.25,89.7,27.47,0m 27s,99.54,13.1,10.15,24.2,0.194538,2025-07-11 08:37:58,torch
137,1.4075,80.42,1.8468,68.5,91.01,28.08,0m 28s,98.96,13.82,10.15,24.17,0.191807,2025-07-11 08:38:27,torch
138,1.4011,80.43,1.8386,68.1,90.4,27.43,0m 27s,95.75,13.07,10.15,24.2,0.189079,2025-07-11 08:38:54,torch
139,1.3917,80.9,1.8452,66.78,89.97,28.57,0m 28s,99.48,14.21,10.15,24.16,0.186352,2025-07-11 08:39:23,torch
140,1.3885,80.81,1.8333,69.02,90.6,28.11,0m 28s,99.04,14.16,10.15,24.18,0.183628,2025-07-11 08:39:52,torch
141,1.3803,81.14,1.7994,69.0,90.81,28.07,0m 28s,99.4,12.56,10.15,24.19,0.180907,2025-07-11 08:40:21,torch
142,1.3816,81.14,1.7952,69.59,90.87,28.24,0m 28s,99.28,13.39,10.15,24.16,0.178189,2025-07-11 08:40:50,torch
143,1.3732,81.42,1.7951,69.86,91.38,27.07,0m 27s,99.17,14.2,10.15,24.2,0.175476,2025-07-11 08:41:18,torch
144,1.3617,81.83,1.8221,68.65,90.55,29.07,0m 29s,99.5,13.34,10.15,24.18,0.172767,2025-07-11 08:41:48,torch
145,1.3592,81.76,1.8076,69.32,91.04,27.43,0m 27s,99.17,14.61,10.15,24.2,0.170063,2025-07-11 08:42:16,torch
146,1.3485,82.19,1.7958,69.84,91.04,27.72,0m 27s,99.33,12.07,10.15,24.2,0.167365,2025-07-11 08:42:44,torch
147,1.3478,82.18,1.787,69.28,91.22,27.61,0m 27s,99.96,13.69,10.15,24.2,0.164673,2025-07-11 08:43:11,torch
148,1.3353,82.83,1.8265,68.96,90.71,27.99,0m 27s,99.36,15.13,10.15,24.2,0.161988,2025-07-11 08:43:40,torch
149,1.328,82.9,1.8488,68.66,91.22,27.38,0m 27s,99.08,13.42,10.15,24.19,0.159309,2025-07-11 08:44:08,torch
150,1.3169,83.42,1.8651,67.88,90.65,27.5,0m 27s,99.33,14.49,10.15,24.22,0.156639,2025-07-11 08:44:36,torch
151,1.3174,83.25,1.8444,68.55,90.52,28.32,0m 28s,99.4,13.48,10.15,24.2,0.153976,2025-07-11 08:45:05,torch
152,1.3153,83.3,1.771,70.11,91.2,27.43,0m 27s,95.71,15.17,10.15,24.2,0.151322,2025-07-11 08:45:33,torch
153,1.3162,83.36,1.8318,68.72,90.41,27.59,0m 27s,99.5,12.41,10.15,24.2,0.148677,2025-07-11 08:46:01,torch
154,1.292,84.25,1.7747,70.11,91.54,27.63,0m 27s,99.12,14.45,10.15,24.2,0.146041,2025-07-11 08:46:28,torch
155,1.2879,84.24,1.81,69.09,90.85,27.51,0m 27s,99.21,13.8,10.15,24.26,0.143416,2025-07-11 08:46:56,torch
156,1.2782,84.58,1.8449,69.0,90.64,26.86,0m 26s,99.33,12.76,10.15,24.2,0.140801,2025-07-11 08:47:24,torch
157,1.2753,84.81,1.7664,71.11,91.58,27.76,0m 27s,99.08,13.53,10.15,24.2,0.138197,2025-07-11 08:47:53,torch
