epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,5.0105,1.17,4.8178,1.19,4.97,36.05,0m 36s,98.0,19.2,3.89,22.5,0.020000,2025-07-11 06:09:49,jittor
1,4.5978,2.47,4.4112,4.66,17.07,20.82,0m 20s,98.56,18.23,8.38,25.33,0.040000,2025-07-11 06:10:11,jittor
2,4.2924,5.98,4.0689,9.21,29.47,19.72,0m 19s,98.75,15.4,8.38,25.39,0.060000,2025-07-11 06:10:31,jittor
3,4.0103,10.51,3.8347,14.57,40.19,19.99,0m 19s,98.56,17.61,8.39,25.46,0.080000,2025-07-11 06:10:53,jittor
4,3.7697,15.29,3.6489,18.52,45.36,19.69,0m 19s,98.5,18.95,8.39,25.4,0.100000,2025-07-11 06:11:13,jittor
5,3.5043,21.09,3.395,25.62,56.8,19.93,0m 19s,99.75,16.86,8.39,25.36,0.120000,2025-07-11 06:11:34,jittor
6,3.2356,26.99,3.2011,29.16,61.33,19.5,0m 19s,98.88,19.4,8.39,25.36,0.140000,2025-07-11 06:11:55,jittor
7,3.0027,33.02,3.0844,33.35,66.36,19.51,0m 19s,97.38,18.61,8.39,25.44,0.160000,2025-07-11 06:12:16,jittor
8,2.8117,38.22,2.9803,36.16,67.98,19.58,0m 19s,99.88,16.59,8.39,25.43,0.180000,2025-07-11 06:12:36,jittor
9,2.6826,41.74,2.7984,40.25,72.22,20.22,0m 20s,99.62,17.73,8.39,25.4,0.200000,2025-07-11 06:12:57,jittor
10,2.5723,44.83,2.7317,40.9,73.25,20.52,0m 20s,99.38,18.36,8.39,25.49,0.220000,2025-07-11 06:13:19,jittor
11,2.4967,46.95,2.6447,43.24,74.79,19.3,0m 19s,100.0,15.14,8.39,25.46,0.240000,2025-07-11 06:13:39,jittor
