epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,5.0509,0.94,4.9171,0.94,4.69,32.92,0m 32s,91.0,11.95,3.83,21.0,0.020000,2025-07-11 07:32:29,jittor
1,4.6734,1.7,4.5501,1.81,9.52,19.99,0m 19s,99.75,12.85,10.15,23.61,0.040000,2025-07-11 07:32:50,jittor
2,4.5651,2.23,4.4618,3.1,14.02,17.07,0m 17s,96.86,12.11,10.15,23.7,0.060000,2025-07-11 07:33:07,jittor
3,4.3908,4.04,4.2073,6.41,22.31,17.92,0m 17s,98.29,12.74,10.15,23.7,0.080000,2025-07-11 07:33:26,jittor
4,4.1822,7.0,3.9539,10.34,32.54,19.41,0m 19s,100.0,12.57,10.15,23.7,0.100000,2025-07-11 07:33:47,jittor
5,3.9956,10.46,3.7827,14.61,39.51,17.22,0m 17s,96.71,12.5,10.15,23.7,0.120000,2025-07-11 07:34:04,jittor
6,3.8323,13.5,3.6628,17.75,43.97,18.11,0m 18s,97.43,12.61,10.15,23.7,0.140000,2025-07-11 07:34:23,jittor
7,3.6388,18.08,3.4978,22.17,50.56,19.56,0m 19s,99.86,11.84,10.15,23.7,0.160000,2025-07-11 07:34:43,jittor
8,3.4284,22.33,3.5363,23.57,52.44,17.85,0m 17s,96.88,14.08,10.15,23.7,0.180000,2025-07-11 07:35:02,jittor
9,3.2267,27.53,3.1127,30.07,62.78,18.18,0m 18s,99.88,14.26,10.15,23.74,0.200000,2025-07-11 07:35:21,jittor
10,3.0548,31.8,3.1464,31.68,63.46,19.34,0m 19s,100.0,13.28,10.15,23.74,0.220000,2025-07-11 07:35:41,jittor
11,2.9101,35.56,3.0073,35.55,67.32,17.24,0m 17s,98.38,14.72,10.15,23.7,0.240000,2025-07-11 07:35:59,jittor
12,2.8046,38.31,2.9013,37.98,70.14,18.66,0m 18s,99.88,15.49,10.15,23.74,0.260000,2025-07-11 07:36:19,jittor
13,2.705,41.13,2.7337,41.17,72.7,19.21,0m 19s,97.86,13.81,10.15,23.76,0.280000,2025-07-11 07:36:38,jittor
14,2.6297,43.15,2.7164,41.71,73.72,17.37,0m 17s,98.62,12.9,10.15,23.7,0.300000,2025-07-11 07:36:57,jittor
15,2.5745,44.72,2.985,35.96,65.75,18.72,0m 18s,98.29,11.03,10.15,23.7,0.320000,2025-07-11 07:37:16,jittor
16,2.5307,45.81,2.704,41.6,73.48,18.27,0m 18s,100.0,12.2,10.15,23.79,0.340000,2025-07-11 07:37:35,jittor
17,2.4846,47.09,2.6762,43.55,76.29,17.3,0m 17s,98.38,12.58,10.15,23.8,0.360000,2025-07-11 07:37:53,jittor
18,2.4848,47.15,2.9208,39.56,69.11,18.89,0m 18s,100.0,11.09,10.15,23.8,0.380000,2025-07-11 07:38:13,jittor
19,2.4413,48.37,2.5464,47.63,78.13,18.29,0m 18s,100.0,14.25,10.15,23.8,0.400000,2025-07-11 07:38:32,jittor
20,2.4066,49.52,2.5192,47.47,77.88,17.33,0m 17s,98.25,15.3,10.15,23.84,0.399981,2025-07-11 07:38:50,jittor
21,2.3706,50.7,2.554,46.48,78.53,18.04,0m 18s,98.0,12.4,10.15,23.87,0.399925,2025-07-11 07:39:08,jittor
22,2.3493,51.22,2.5453,47.08,77.87,18.4,0m 18s,99.75,11.9,10.15,23.8,0.399832,2025-07-11 07:39:28,jittor
23,2.3283,51.99,2.5008,48.62,78.11,17.02,0m 17s,98.67,12.7,10.15,23.8,0.399702,2025-07-11 07:39:46,jittor
24,2.3162,52.51,2.462,48.96,78.75,18.95,0m 18s,99.75,12.15,10.15,23.8,0.399534,2025-07-11 07:40:06,jittor
25,2.2773,53.44,2.3825,50.51,81.22,19.31,0m 19s,99.86,11.79,10.15,23.8,0.399329,2025-07-11 07:40:25,jittor
26,2.2575,54.22,2.3476,51.82,81.69,17.6,0m 17s,98.14,12.26,10.15,23.8,0.399087,2025-07-11 07:40:43,jittor
27,2.2362,54.88,2.6754,43.84,75.62,17.92,0m 17s,98.5,13.15,10.15,23.8,0.398807,2025-07-11 07:41:02,jittor
28,2.2258,55.01,2.467,48.3,78.82,18.35,0m 18s,99.94,13.79,10.15,23.8,0.398491,2025-07-11 07:41:22,jittor
29,2.22,55.11,2.5681,48.17,78.04,17.85,0m 17s,99.94,18.69,10.15,23.8,0.398137,2025-07-11 07:41:41,jittor
30,2.1963,55.95,2.3924,51.83,80.27,17.6,0m 17s,99.0,14.73,10.15,23.85,0.397747,2025-07-11 07:41:59,jittor
31,2.186,55.99,25.3177,2.59,7.5,19.46,0m 19s,99.75,18.16,10.15,23.9,0.397319,2025-07-11 07:42:19,jittor
32,2.2046,55.68,2.2668,54.04,83.34,17.26,0m 17s,98.14,14.43,10.15,23.87,0.396855,2025-07-11 07:42:37,jittor
33,2.1686,56.9,2.3207,53.84,82.63,18.05,0m 18s,100.0,14.71,10.15,23.8,0.396354,2025-07-11 07:42:56,jittor
34,2.1591,56.83,2.3364,52.99,83.1,18.43,0m 18s,99.86,12.84,10.15,23.86,0.395817,2025-07-11 07:43:15,jittor
35,2.1504,57.55,2.3503,51.65,82.04,17.0,0m 17s,98.14,15.19,10.15,23.9,0.395243,2025-07-11 07:43:32,jittor
