epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,5.0131,1.23,4.8641,1.02,5.24,46.22,0m 46s,99.0,13.15,6.01,21.9,0.020000,2025-07-11 10:47:38,jittor
1,4.6894,1.77,4.5523,2.99,11.57,27.41,0m 27s,98.56,13.08,13.77,24.9,0.040000,2025-07-11 10:48:07,jittor
2,4.5213,2.67,4.7644,3.81,15.46,26.75,0m 26s,99.89,13.39,13.77,24.9,0.060000,2025-07-11 10:48:35,jittor
3,4.3039,5.21,4.1125,8.47,26.58,27.29,0m 27s,99.89,14.02,13.77,24.96,0.080000,2025-07-11 10:49:02,jittor
4,4.0739,9.39,3.9532,13.74,38.0,26.75,0m 26s,98.56,13.56,13.77,24.9,0.100000,2025-07-11 10:49:30,jittor
5,3.8393,13.79,3.6091,19.54,46.68,26.52,0m 26s,99.78,14.33,13.77,24.96,0.120000,2025-07-11 10:49:58,jittor
6,3.5537,19.95,3.3785,24.97,55.39,26.19,0m 26s,99.78,13.07,13.77,24.91,0.140000,2025-07-11 10:50:25,jittor
7,3.2473,27.08,3.1027,31.67,63.64,27.37,0m 27s,99.89,12.97,13.77,24.9,0.160000,2025-07-11 10:50:54,jittor
8,2.9849,33.53,2.8166,38.64,70.57,27.64,0m 27s,99.7,14.2,13.77,24.92,0.180000,2025-07-11 10:51:23,jittor
9,2.8024,38.41,2.8842,35.87,69.68,27.22,0m 27s,99.89,11.98,13.77,24.9,0.200000,2025-07-11 10:51:51,jittor
10,2.6558,42.64,2.7056,41.72,73.98,25.94,0m 25s,98.78,13.17,13.77,24.9,0.220000,2025-07-11 10:52:17,jittor
11,2.5484,45.42,2.6152,44.52,75.96,26.33,0m 26s,98.22,11.67,13.77,24.9,0.240000,2025-07-11 10:52:45,jittor
12,2.4654,47.67,2.5491,46.05,77.76,27.05,0m 27s,99.89,13.14,13.77,24.9,0.260000,2025-07-11 10:53:14,jittor
13,2.4047,49.49,2.5782,45.46,77.35,27.1,0m 27s,98.44,12.36,13.77,24.88,0.280000,2025-07-11 10:53:42,jittor
14,2.3522,51.09,2.4659,48.95,79.73,24.93,0m 24s,99.78,12.89,13.77,24.9,0.300000,2025-07-11 10:54:08,jittor
15,2.318,51.96,2.4845,49.09,79.11,26.07,0m 26s,98.4,14.95,13.77,24.91,0.320000,2025-07-11 10:54:36,jittor
16,2.2817,53.16,2.5315,47.71,77.26,26.01,0m 26s,99.56,15.76,13.77,24.94,0.340000,2025-07-11 10:55:03,jittor
17,2.262,53.94,2.5168,48.07,78.53,26.47,0m 26s,99.89,13.12,13.77,24.9,0.360000,2025-07-11 10:55:30,jittor
18,2.2317,54.65,2.6352,45.43,75.96,25.54,0m 25s,99.75,12.51,13.77,24.9,0.380000,2025-07-11 10:55:56,jittor
19,2.2177,55.31,2.5548,47.73,77.69,25.65,0m 25s,99.89,13.0,13.77,24.9,0.400000,2025-07-11 10:56:23,jittor
20,2.2081,55.48,2.3652,52.03,82.11,25.01,0m 25s,99.41,12.68,13.77,24.9,0.399981,2025-07-11 10:56:48,jittor
21,2.1709,56.51,2.2545,54.01,83.83,26.23,0m 26s,99.78,13.07,13.77,24.9,0.399925,2025-07-11 10:57:16,jittor
22,2.139,57.74,2.3583,52.21,82.05,26.05,0m 26s,99.89,12.62,13.77,24.84,0.399832,2025-07-11 10:57:44,jittor
23,2.1285,57.74,2.3163,53.64,82.51,26.35,0m 26s,99.42,13.04,13.77,24.82,0.399702,2025-07-11 10:58:10,jittor
24,2.098,58.92,2.332,52.84,82.29,26.29,0m 26s,99.89,15.24,13.77,24.85,0.399534,2025-07-11 10:58:37,jittor
25,2.0863,58.99,2.2936,53.74,82.61,24.97,0m 24s,99.21,13.36,13.77,24.83,0.399329,2025-07-11 10:59:03,jittor
26,2.0646,59.81,2.4587,49.67,80.85,25.3,0m 25s,98.72,12.72,13.77,24.84,0.399087,2025-07-11 10:59:29,jittor
27,2.0588,59.95,2.3808,51.27,81.21,25.05,0m 25s,99.33,12.28,13.77,24.89,0.398807,2025-07-11 10:59:55,jittor
28,2.0272,60.83,2.159,58.05,85.16,25.1,0m 25s,99.32,14.04,13.77,25.03,0.398491,2025-07-11 11:00:21,jittor
29,2.02,61.25,2.1761,56.66,85.01,27.58,0m 27s,99.9,14.92,13.77,26.15,0.398137,2025-07-11 11:00:50,jittor
30,2.0093,61.5,2.2752,54.79,82.51,26.5,0m 26s,99.9,15.08,13.77,27.06,0.397747,2025-07-11 11:01:18,jittor
31,1.9954,61.8,2.4647,50.09,79.85,25.62,0m 25s,99.9,13.39,13.77,25.11,0.397319,2025-07-11 11:01:45,jittor
32,1.9855,62.21,2.2418,55.45,84.99,25.17,0m 25s,99.05,12.31,13.77,24.9,0.396855,2025-07-11 11:02:10,jittor
33,1.9745,62.41,2.1185,58.33,86.55,25.47,0m 25s,99.78,13.19,13.77,24.9,0.396354,2025-07-11 11:02:36,jittor
34,1.9638,62.87,2.1589,57.81,86.04,26.8,0m 26s,98.89,12.73,13.77,25.2,0.395817,2025-07-11 11:03:04,jittor
35,1.9444,63.63,2.3508,52.58,81.53,25.31,0m 25s,98.45,15.98,13.77,26.41,0.395243,2025-07-11 11:03:30,jittor
36,1.9416,63.42,2.2044,55.95,84.83,26.69,0m 26s,99.9,14.95,13.77,27.1,0.394632,2025-07-11 11:03:57,jittor
37,1.9348,63.9,2.2506,55.08,83.92,25.68,0m 25s,99.56,13.17,13.77,24.9,0.393986,2025-07-11 11:04:23,jittor
38,1.9206,63.93,2.099,59.23,86.17,26.15,0m 26s,99.18,15.41,13.77,24.91,0.393303,2025-07-11 11:04:50,jittor
39,1.9222,63.84,2.1182,58.34,86.08,27.14,0m 27s,99.9,11.79,13.77,24.9,0.392583,2025-07-11 11:05:18,jittor
40,1.9043,64.78,2.2547,55.64,83.47,25.06,0m 25s,99.17,12.68,13.77,24.9,0.391828,2025-07-11 11:05:44,jittor
41,1.9117,64.27,2.1296,59.65,86.17,27.07,0m 27s,98.89,13.04,13.77,24.9,0.391038,2025-07-11 11:06:13,jittor
42,1.8962,64.68,2.1362,58.55,85.54,26.49,0m 26s,98.67,12.48,13.77,24.9,0.390211,2025-07-11 11:06:40,jittor
43,1.8876,64.91,2.0621,60.5,87.47,26.54,0m 26s,100.0,12.3,13.77,24.9,0.389349,2025-07-11 11:07:07,jittor
44,1.8893,65.04,2.1474,58.39,86.05,25.53,0m 25s,99.11,12.63,13.77,24.9,0.388452,2025-07-11 11:07:34,jittor
45,1.8782,65.32,2.32,54.14,82.97,25.46,0m 25s,98.44,11.86,13.77,24.9,0.387520,2025-07-11 11:08:00,jittor
46,1.8642,65.75,2.1269,58.21,85.81,25.19,0m 25s,99.33,13.71,13.77,24.9,0.386552,2025-07-11 11:08:26,jittor
47,1.8617,66.01,2.2058,56.87,84.61,25.75,0m 25s,99.11,14.76,13.77,24.86,0.385550,2025-07-11 11:08:52,jittor
48,1.8678,65.71,2.2636,56.58,83.18,26.39,0m 26s,99.84,13.06,13.77,24.81,0.384514,2025-07-11 11:09:19,jittor
49,1.8527,66.23,2.2234,57.3,83.91,26.52,0m 26s,99.84,13.27,13.77,24.89,0.383442,2025-07-11 11:09:47,jittor
