epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,4.9206,1.09,4.7774,1.04,4.86,15.9,0m 15s,0.0,14.5,0.0,25.0,0.020000,2025-07-11 06:33:41,torch
1,4.6303,2.02,4.4559,3.37,13.68,14.1,0m 14s,92.31,16.61,8.34,25.11,0.040000,2025-07-11 06:33:56,torch
2,4.3788,4.49,4.1438,7.46,25.3,13.38,0m 13s,98.5,16.01,8.34,25.13,0.060000,2025-07-11 06:34:10,torch
3,4.149,8.12,4.0202,9.77,32.65,13.74,0m 13s,98.75,18.12,8.34,25.12,0.080000,2025-07-11 06:34:24,torch
4,3.9731,11.28,3.746,15.8,41.51,14.1,0m 14s,99.15,16.84,8.34,25.13,0.100000,2025-07-11 06:34:39,torch
5,3.8182,14.53,3.6217,18.84,45.66,14.1,0m 14s,92.31,18.28,8.34,25.21,0.120000,2025-07-11 06:34:54,torch
6,3.6419,18.19,3.3584,23.8,54.1,13.01,0m 13s,98.92,17.75,8.34,25.17,0.140000,2025-07-11 06:35:08,torch
7,3.4244,22.94,3.6059,21.37,49.92,12.99,0m 12s,98.92,17.36,8.34,25.12,0.160000,2025-07-11 06:35:22,torch
8,3.2114,27.98,3.2033,29.36,61.23,14.19,0m 14s,99.31,19.35,8.34,25.17,0.180000,2025-07-11 06:35:37,torch
9,3.0329,32.19,3.0448,32.69,65.21,14.03,0m 14s,92.23,16.52,8.34,25.2,0.200000,2025-07-11 06:35:52,torch
10,2.8896,35.9,2.9189,36.28,68.1,13.09,0m 13s,98.88,17.56,8.34,25.22,0.220000,2025-07-11 06:36:06,torch
11,2.7739,38.92,2.7107,40.64,73.1,13.38,0m 13s,99.08,15.47,8.34,25.28,0.240000,2025-07-11 06:36:20,torch
12,2.6925,41.37,2.7637,40.29,72.22,14.16,0m 14s,99.15,17.79,8.34,25.25,0.260000,2025-07-11 06:36:35,torch
13,2.6269,43.2,2.7596,42.66,73.3,13.35,0m 13s,91.58,19.18,8.34,25.28,0.280000,2025-07-11 06:36:49,torch
14,2.5701,44.52,2.71,40.94,73.35,13.01,0m 13s,98.75,19.52,8.34,25.33,0.300000,2025-07-11 06:37:03,torch
15,2.5283,46.1,2.9374,36.39,69.34,13.43,0m 13s,97.83,16.37,8.34,25.28,0.320000,2025-07-11 06:37:17,torch
16,2.4876,47.06,2.7958,40.1,71.51,14.08,0m 14s,99.23,18.84,8.34,25.28,0.340000,2025-07-11 06:37:32,torch
17,2.4578,48.08,2.772,41.31,71.77,13.49,0m 13s,98.67,18.78,8.34,25.36,0.360000,2025-07-11 06:37:46,torch
18,2.4345,48.69,2.5994,45.6,76.38,13.59,0m 13s,98.33,20.0,8.34,25.39,0.380000,2025-07-11 06:38:00,torch
19,2.4244,48.97,3.248,32.71,64.31,13.68,0m 13s,98.83,19.14,8.34,25.33,0.400000,2025-07-11 06:38:14,torch
20,2.4011,49.69,2.6416,43.35,75.19,13.84,0m 13s,91.42,15.91,8.43,25.31,0.399981,2025-07-11 06:38:28,torch
21,2.3705,50.47,2.5294,46.51,77.57,12.97,0m 12s,98.83,18.5,8.44,25.38,0.399925,2025-07-11 06:38:42,torch
22,2.3438,51.12,2.5976,45.02,76.18,13.32,0m 13s,97.92,18.16,8.44,25.33,0.399832,2025-07-11 06:38:56,torch
23,2.3229,51.54,2.6344,44.38,75.08,14.1,0m 14s,99.08,19.23,8.44,25.32,0.399702,2025-07-11 06:39:11,torch
24,2.3057,52.14,3.1061,38.99,68.19,13.11,0m 13s,99.08,15.56,8.44,25.33,0.399534,2025-07-11 06:39:25,torch
25,2.2825,53.06,2.5787,45.75,76.51,13.69,0m 13s,99.17,18.57,8.44,25.36,0.399329,2025-07-11 06:39:39,torch
26,2.267,53.54,2.7088,43.2,74.29,13.5,0m 13s,99.08,16.44,8.44,25.35,0.399087,2025-07-11 06:39:53,torch
27,2.2522,53.9,2.5813,46.57,76.39,13.97,0m 13s,91.92,19.15,8.44,25.32,0.398807,2025-07-11 06:40:08,torch
28,2.2458,54.13,2.5123,47.75,77.17,13.0,0m 13s,99.08,17.44,8.44,25.37,0.398491,2025-07-11 06:40:22,torch
29,2.2269,54.81,2.3387,52.08,82.17,12.3,0m 12s,98.09,17.42,8.44,25.39,0.398137,2025-07-11 06:40:35,torch
30,2.2116,55.13,2.4132,49.28,80.56,14.21,0m 14s,99.31,17.09,8.44,25.35,0.397747,2025-07-11 06:40:50,torch
31,2.1991,55.42,2.721,43.5,75.46,12.09,0m 12s,98.82,15.95,8.44,25.35,0.397319,2025-07-11 06:41:03,torch
32,2.1901,55.71,2.4195,49.12,80.67,14.05,0m 14s,99.08,16.78,8.44,25.36,0.396855,2025-07-11 06:41:18,torch
33,2.1783,56.2,2.4844,48.42,78.68,13.59,0m 13s,99.12,14.82,8.44,25.38,0.396354,2025-07-11 06:41:32,torch
34,2.169,56.35,2.5443,48.49,79.26,14.16,0m 14s,92.23,17.59,8.44,25.42,0.395817,2025-07-11 06:41:47,torch
35,2.1598,56.95,2.2922,53.03,83.27,13.47,0m 13s,99.04,19.81,8.44,25.39,0.395243,2025-07-11 06:42:00,torch
36,2.1538,57.1,2.5981,47.11,75.97,13.37,0m 13s,99.08,17.39,8.44,25.43,0.394632,2025-07-11 06:42:14,torch
37,2.1433,57.12,2.4675,49.09,79.11,14.13,0m 14s,99.23,17.95,8.44,25.45,0.393986,2025-07-11 06:42:29,torch
38,2.1259,57.65,2.3083,52.89,82.5,14.2,0m 14s,95.77,16.33,8.44,25.39,0.393303,2025-07-11 06:42:45,torch
39,2.1253,57.9,2.3707,50.93,81.93,13.6,0m 13s,99.08,17.62,8.44,25.4,0.392583,2025-07-11 06:42:58,torch
40,2.1126,58.28,2.4136,50.75,80.29,12.36,0m 12s,98.45,16.88,8.44,25.31,0.391828,2025-07-11 06:43:11,torch
41,2.1089,58.05,2.2583,54.61,83.23,14.14,0m 14s,99.15,18.95,8.44,25.42,0.391038,2025-07-11 06:43:26,torch
42,2.0891,58.92,2.3711,51.75,80.59,13.49,0m 13s,99.0,17.58,8.44,25.41,0.390211,2025-07-11 06:43:40,torch
43,2.0882,58.93,2.3823,52.28,81.81,13.1,0m 13s,98.92,15.75,8.44,25.39,0.389349,2025-07-11 06:43:54,torch
44,2.0842,59.1,2.3121,52.1,82.67,13.69,0m 13s,98.92,16.57,8.44,25.41,0.388452,2025-07-11 06:44:08,torch
45,2.0752,59.06,2.2922,54.05,82.91,14.18,0m 14s,99.31,15.88,8.44,25.4,0.387520,2025-07-11 06:44:23,torch
46,2.0653,59.64,2.346,52.99,81.25,13.33,0m 13s,98.58,17.34,8.44,25.38,0.386552,2025-07-11 06:44:37,torch
47,2.0645,59.5,2.2136,56.65,84.24,13.62,0m 13s,99.17,19.28,8.44,25.43,0.385550,2025-07-11 06:44:51,torch
48,2.0588,59.73,2.3717,51.39,81.19,13.78,0m 13s,99.17,17.55,8.44,25.44,0.384514,2025-07-11 06:45:05,torch
49,2.0453,60.15,2.1644,56.83,85.04,14.19,0m 14s,99.54,19.18,8.44,25.42,0.383442,2025-07-11 06:45:20,torch
50,2.037,60.25,2.2531,54.98,83.66,13.04,0m 13s,99.08,16.22,8.44,25.42,0.382337,2025-07-11 06:45:34,torch
51,2.0325,60.38,2.2068,56.89,84.51,13.74,0m 13s,98.92,18.48,8.44,25.47,0.381197,2025-07-11 06:45:48,torch
52,2.0218,60.73,2.3801,51.03,80.75,14.03,0m 14s,99.08,15.0,8.44,24.83,0.380024,2025-07-11 06:46:02,torch
53,2.0286,60.62,2.337,52.45,81.61,13.96,0m 13s,92.31,13.05,8.44,23.8,0.378817,2025-07-11 06:46:17,torch
54,2.012,61.2,2.3123,53.82,81.75,13.0,0m 13s,99.21,12.56,8.44,23.8,0.377577,2025-07-11 06:46:31,torch
55,2.0088,61.21,2.5842,47.58,78.31,13.7,0m 13s,98.79,11.83,8.44,23.8,0.376304,2025-07-11 06:46:45,torch
56,2.0061,61.6,2.3733,52.27,81.94,14.17,0m 14s,99.23,13.47,8.44,23.8,0.374998,2025-07-11 06:47:00,torch
57,2.0014,61.56,2.1964,56.21,84.28,14.2,0m 14s,92.23,13.1,8.44,23.8,0.373659,2025-07-11 06:47:15,torch
58,1.9978,61.99,2.2297,55.92,83.32,13.66,0m 13s,98.92,13.63,8.44,23.8,0.372287,2025-07-11 06:47:29,torch
59,1.9854,62.02,2.1838,56.31,85.44,13.06,0m 13s,99.0,11.65,8.44,23.8,0.370884,2025-07-11 06:47:43,torch
60,1.9873,62.11,2.4976,49.28,78.22,14.17,0m 14s,99.23,12.96,8.44,23.8,0.369449,2025-07-11 06:47:58,torch
61,1.9722,62.58,2.4029,51.86,80.75,14.25,0m 14s,99.0,13.48,8.44,23.8,0.367982,2025-07-11 06:48:13,torch
62,1.9736,62.46,2.1629,56.81,85.9,13.92,0m 13s,99.0,13.03,8.44,23.8,0.366483,2025-07-11 06:48:28,torch
63,1.9695,62.66,2.2674,54.75,83.47,13.26,0m 13s,99.08,11.3,8.44,23.8,0.364954,2025-07-11 06:48:42,torch
64,1.9678,62.67,2.2593,54.77,84.02,13.39,0m 13s,99.0,15.12,8.44,23.8,0.363394,2025-07-11 06:48:56,torch
65,1.9595,62.83,2.1782,57.56,84.88,14.25,0m 14s,99.15,13.53,8.44,23.8,0.361803,2025-07-11 06:49:11,torch
66,1.9589,62.64,2.2155,55.96,84.86,13.23,0m 13s,98.92,16.71,8.44,23.89,0.360183,2025-07-11 06:49:25,torch
67,1.9543,62.85,2.4036,51.94,79.74,12.05,0m 12s,98.82,12.71,8.44,23.9,0.358532,2025-07-11 06:49:38,torch
68,1.952,62.94,2.4094,51.21,80.35,14.2,0m 14s,99.08,11.72,8.44,23.9,0.356852,2025-07-11 06:49:53,torch
