epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,4.7105,1.0,4.6992,1.03,4.59,7.98,0m 7s,0.0,13.7,0.0,24.6,0.020000,2025-07-11 11:45:52,torch
1,4.2184,7.49,3.9748,10.22,33.39,5.3,0m 5s,98.4,14.18,10.35,24.7,0.040000,2025-07-11 11:45:58,torch
2,3.7856,15.3,3.5682,20.33,47.71,6.41,0m 6s,98.83,13.32,10.35,24.7,0.060000,2025-07-11 11:46:05,torch
3,3.3887,23.85,3.2361,28.51,59.08,6.42,0m 6s,98.0,13.15,10.35,24.7,0.080000,2025-07-11 11:46:12,torch
4,3.0796,30.88,3.1682,30.85,62.56,6.12,0m 6s,98.0,12.18,10.35,24.7,0.100000,2025-07-11 11:46:19,torch
5,2.8398,37.29,2.9114,37.82,69.17,6.4,0m 6s,98.0,13.55,10.35,24.7,0.120000,2025-07-11 11:46:26,torch
6,2.6904,41.22,2.817,39.24,71.58,6.37,0m 6s,97.83,14.8,10.35,24.7,0.140000,2025-07-11 11:46:33,torch
7,2.567,44.81,2.7063,42.44,73.32,6.39,0m 6s,99.0,15.35,10.35,24.7,0.160000,2025-07-11 11:46:39,torch
8,2.4811,47.53,2.4829,48.18,78.09,6.27,0m 6s,83.33,16.47,10.35,24.73,0.180000,2025-07-11 11:46:46,torch
9,2.3967,49.72,2.5829,45.87,77.65,6.38,0m 6s,98.0,13.15,10.35,24.7,0.200000,2025-07-11 11:46:53,torch
10,2.3453,51.27,2.515,47.41,76.69,6.43,0m 6s,98.0,13.47,10.35,24.7,0.220000,2025-07-11 11:47:00,torch
11,2.3011,52.57,2.4922,47.81,78.16,5.82,0m 5s,97.33,14.42,10.35,24.7,0.240000,2025-07-11 11:47:07,torch
12,2.2622,53.7,2.6704,46.38,75.26,6.4,0m 6s,98.25,12.42,10.35,24.7,0.260000,2025-07-11 11:47:14,torch
13,2.2282,54.72,2.5513,46.5,76.74,6.52,0m 6s,98.08,13.06,10.35,24.78,0.280000,2025-07-11 11:47:21,torch
14,2.2059,55.26,2.3654,51.01,80.72,5.42,0m 5s,97.9,13.9,10.35,24.86,0.300000,2025-07-11 11:47:27,torch
15,2.1903,55.51,2.4234,49.51,79.4,6.43,0m 6s,98.0,14.0,10.35,24.9,0.320000,2025-07-11 11:47:34,torch
16,2.1618,56.78,2.4038,49.22,80.33,6.41,0m 6s,99.0,14.59,10.35,24.9,0.340000,2025-07-11 11:47:41,torch
17,2.1634,56.47,2.4073,50.18,79.23,6.37,0m 6s,98.25,14.85,10.35,24.9,0.360000,2025-07-11 11:47:48,torch
18,2.1617,56.54,2.2935,53.42,82.07,5.9,0m 5s,83.0,13.97,10.35,24.9,0.380000,2025-07-11 11:47:55,torch
19,2.1439,57.13,2.3692,50.72,81.15,6.39,0m 6s,97.83,17.48,10.35,24.88,0.400000,2025-07-11 11:48:02,torch
20,2.1437,56.92,2.4835,47.67,78.28,6.39,0m 6s,98.22,14.19,10.35,24.85,0.399981,2025-07-11 11:48:08,torch
21,2.1275,57.4,2.7782,42.76,72.88,4.41,0m 4s,97.08,14.07,10.35,24.9,0.399925,2025-07-11 11:48:13,torch
22,2.1042,58.22,2.3473,51.11,81.42,6.37,0m 6s,98.17,17.82,10.35,24.9,0.399832,2025-07-11 11:48:20,torch
23,2.0992,58.4,2.2888,53.66,82.08,6.38,0m 6s,97.67,15.3,10.35,24.9,0.399702,2025-07-11 11:48:27,torch
24,2.0854,58.65,2.4106,50.63,80.03,6.39,0m 6s,98.67,15.46,10.35,24.9,0.399534,2025-07-11 11:48:34,torch
25,2.0763,58.88,2.1805,56.37,84.23,5.43,0m 5s,96.0,13.74,10.35,24.9,0.399329,2025-07-11 11:48:40,torch
26,2.0661,59.22,2.2801,53.9,82.48,6.37,0m 6s,97.83,14.97,10.35,24.9,0.399087,2025-07-11 11:48:47,torch
27,2.0608,59.39,2.4121,50.39,80.2,6.35,0m 6s,98.83,14.92,10.35,24.9,0.398807,2025-07-11 11:48:54,torch
28,2.0409,59.94,2.3351,52.39,81.35,5.29,0m 5s,97.2,15.94,10.35,24.9,0.398491,2025-07-11 11:49:00,torch
29,2.0457,59.9,2.1481,57.06,85.54,6.41,0m 6s,98.83,13.98,10.35,24.9,0.398137,2025-07-11 11:49:06,torch
30,2.0341,60.56,2.2537,54.8,83.26,6.42,0m 6s,98.17,12.03,10.35,24.9,0.397747,2025-07-11 11:49:13,torch
31,2.027,60.5,2.1095,58.5,85.71,6.44,0m 6s,97.67,12.73,10.35,24.9,0.397319,2025-07-11 11:49:20,torch
32,2.0209,60.74,2.3324,53.11,80.67,4.88,0m 4s,95.4,14.92,10.35,24.9,0.396855,2025-07-11 11:49:26,torch
33,2.0103,61.13,2.1321,57.47,85.54,6.45,0m 6s,98.67,13.32,10.35,24.9,0.396354,2025-07-11 11:49:33,torch
34,2.0086,61.06,2.321,53.06,81.26,6.37,0m 6s,97.67,15.03,10.35,24.9,0.395817,2025-07-11 11:49:40,torch
35,2.0051,61.04,2.3072,53.42,81.61,5.43,0m 5s,97.2,15.74,10.35,24.9,0.395243,2025-07-11 11:49:46,torch
36,1.9965,61.37,2.2379,55.45,83.84,6.41,0m 6s,98.17,13.52,10.35,24.9,0.394632,2025-07-11 11:49:53,torch
